global_time,crystal,edep,x,y,z,slice_sect,time
 1289686245.73028,0,1039.472,69.581,48.589,-246.358,20,17162550.506
 1289686245.73028,0,143.564,70.442,47.266,-245.670,20,17162550.512
 1289686245.73028,0,149.964,66.265,55.406,-239.699,10,17162550.548
 1289686245.73028,30,721.343,-181.578,-81.263,-142.797,05,17162550.453
 1289686245.73028,30,268.806,-184.252,-83.119,-140.422,05,17162550.466
 1289686245.73028,30,181.851,-185.008,-80.165,-142.878,05,17162550.479
 2215287773.96422,30,572.357,-180.370,-110.511,-128.450,14,65668554.992
 2215287773.96422,30,258.317,-198.668,-109.509,-163.413,34,65668555.161
 2280956328.13102,40,471.958,76.337,-158.442,-182.059,11,117067500.978
 2280956328.13102,40,496.732,76.389,-158.429,-182.169,11,117067500.978
 2280956328.13102,40,73.172,74.909,-157.782,-181.118,11,117067500.985
 2280956328.13102,40,130.138,73.820,-160.697,-183.008,11,117067500.997
 2398023828.26468,21,581.646,-6.321,201.087,-164.028,21,12929877.762
 2398023828.26468,21,173.451,30.670,248.773,-172.782,44,12929877.966
 2410953705.16114,26,706.019,-110.564,183.700,-235.807,51,151889835.469
 2410953705.16114,26,130.430,-116.208,182.806,-236.532,51,151889835.488
 2410953705.16114,26,27.526,-120.853,183.272,-231.244,50,151889835.512
 2410953705.16114,26,107.705,-122.025,184.402,-230.252,50,151889835.518
 2410953705.16114,26,28.798,-121.892,185.364,-230.911,50,151889835.522
 2410953705.16114,26,171.523,-119.509,185.215,-233.832,51,151889835.535
 2562843539.56719,38,197.686,12.328,-163.240,-172.667,05,21696866.201
 2562843539.56719,36,520.091,15.242,-202.939,-191.745,30,21696866.348
 2724027573.55584,23,144.970,-18.365,203.297,-172.300,25,44668212.846
 2724027573.55584,23,62.775,-17.747,199.037,-168.935,25,44668212.864
 2724027573.55584,23,15.232,-17.717,199.111,-169.279,25,44668212.866
 2724027573.55584,23,99.866,-20.413,195.811,-170.425,25,44668212.880
 2768695785.48826,13,1017.193,103.990,7.485,-216.410,03,6517952.388
 2768695785.48826,13,66.032,101.610,5.161,-216.801,03,6517952.399
 2768695785.48826,13,28.895,98.381,-20.079,-256.230,21,6517952.556
 2768695785.48826,13,220.880,101.329,-18.371,-267.287,31,6517952.595
 2804463401.80741,8,556.906,-120.572,-6.826,-207.184,01,6986174.672
 2811449575.67963,7,1079.019,-84.058,-39.319,-250.509,21,9155341.648
 2811449575.67963,7,117.571,-82.897,-48.393,-240.032,11,9155341.695
 2811449575.67963,7,8.090,-73.389,-42.173,-250.182,21,9155341.750
 2811449575.67963,7,128.319,-68.695,-38.329,-247.828,21,9155341.771
 3427725065.43738,1,601.448,73.003,72.957,-252.320,20,64485962.417
 3693365025.60222,27,204.628,-184.006,65.340,-150.015,01,5564041.035
 3693365025.60222,27,526.249,-204.470,75.747,-157.255,22,5564041.115
 3693365025.60222,27,389.096,-209.444,98.118,-157.033,33,5564041.192
 3693365025.60222,27,58.291,-188.834,87.295,-157.703,25,5564041.269
 3693365025.60222,27,154.736,-188.441,86.121,-162.458,25,5564041.286
 3698929065.81502,38,890.442,-11.009,-162.197,-176.797,01,165792811.855
 3698929065.81502,38,269.145,0.865,-171.451,-173.379,00,165792811.906
 3698929065.81502,38,173.413,-4.538,-171.118,-173.139,00,165792811.924
 3864721876.86815,20,972.510,114.356,121.762,-217.208,22,63456952.146
 3864721876.86815,19,199.106,155.480,140.586,-182.219,35,63456952.337
 3864721876.86815,19,161.384,152.359,136.155,-178.008,25,63456952.360
 3864721876.86815,13,126.725,123.031,-5.706,-234.504,24,63456952.116
 3864721876.86815,13,77.740,135.852,-16.446,-261.989,44,63456952.223
 4151506740.20960,7,655.319,-138.966,-80.453,-263.593,44,58323811.948
 4151506740.20960,7,23.620,-135.036,-84.397,-267.972,54,58323811.972
 4382520616.91006,41,156.267,137.758,-152.315,-165.253,25,59477953.550
 4382520616.91006,41,358.430,138.522,-153.106,-165.664,25,59477953.554
 4382520616.91006,8,948.498,-168.003,-13.823,-259.052,42,59477953.702
 4382520616.91006,8,223.502,-149.083,-16.156,-249.895,31,59477953.772
 4442920454.22592,42,550.336,188.112,-39.749,-144.964,05,87380719.298
 4442920454.22592,42,422.590,190.777,-37.324,-149.068,05,87380719.316
 4442920454.22592,42,91.264,194.954,-39.209,-148.739,05,87380719.331
 4442920454.22592,42,123.563,196.651,-38.263,-146.980,05,87380719.340
 4442920454.22592,42,145.246,194.125,-34.973,-154.323,05,87380719.368
 4442920454.22592,34,808.125,-150.171,-129.334,-225.924,42,87380719.495
 4442920454.22592,34,19.510,-120.123,-122.232,-251.814,44,87380719.630
 4442920454.22592,11,46.969,-97.709,-137.616,-266.283,54,87380719.762
 4442920454.22592,11,64.305,-93.476,-140.771,-265.094,53,87380719.780
 4442920454.22592,11,36.609,-94.085,-140.856,-264.846,53,87380719.782
 4442920454.22592,11,74.591,-93.612,-140.547,-265.265,53,87380719.785
 4530301172.71868,25,772.214,-92.689,198.056,-161.212,24,84717033.466
 4530301172.71868,25,180.639,-96.088,212.783,-154.362,34,84717033.521
 4530301172.71868,25,23.343,-90.545,221.461,-156.080,34,84717033.556
