crystal,edep,x,y,z,slice_sect,time
94,908.097,216.118,23.330,121.995,11,0.831
94,141.300,218.981,0.466,129.718,13,0.913
94,20.325,214.112,-2.620,139.281,13,0.950
94,66.781,214.345,-2.923,145.877,23,0.972
163,6.997,205.671,-26.349,154.761,24,1.060
163,189.000,206.468,-29.170,152.335,14,1.073
