cr,slice,sect,x,y,z,vol
2,4,3,157.42383,45.55421,-251.45109,14094.00000
2,4,4,143.16175,26.94143,-262.68077,13520.00000
2,4,5,121.12603,32.95722,-273.13316,13875.00000
2,5,0,119.88312,60.31879,-288.05409,13851.00000
2,5,1,133.67953,78.98735,-277.06564,13774.00000
2,5,2,156.72714,73.59916,-265.93054,14555.00000
2,5,3,165.69526,48.32889,-266.17428,14685.00000
2,5,4,151.25425,29.71329,-277.51642,13628.00000
2,5,5,128.61247,35.84516,-288.27360,14181.00000
3,0,0,-14.96090,73.49161,-230.51980,6485.00000
3,0,1,4.42160,74.14181,-230.59295,6593.00000
3,0,2,13.95200,57.69649,-234.58814,6427.00000
3,0,3,4.78099,42.29096,-238.15550,5882.00000
3,0,4,-12.02986,41.17257,-238.20843,6079.00000
3,0,5,-23.11805,56.41294,-234.46868,6508.00000
3,1,0,-17.10149,79.04934,-240.52490,6676.00000
3,1,1,6.13621,79.82317,-240.60850,6775.00000
3,1,2,17.51624,60.12996,-245.40945,6624.00000
3,1,3,6.51909,41.65957,-249.66586,6022.00000
3,1,4,-13.64940,40.30558,-249.75160,6217.00000
3,1,5,-26.85576,58.56644,-245.26980,6740.00000
3,2,0,-17.55759,82.58160,-253.58650,10082.00000
3,2,1,6.19752,83.41800,-253.65969,10198.00000
3,2,2,17.83833,63.33981,-258.55019,9947.00000
3,2,3,6.57885,44.44469,-262.90457,9054.00000
3,2,4,-14.06858,43.01523,-263.01057,9362.00000
3,2,5,-27.55088,61.65063,-258.43780,10142.00000
3,3,0,-18.71997,87.73740,-268.95100,13026.00000
3,3,1,6.83925,88.62065,-269.02792,13123.00000
3,3,2,19.34537,67.10194,-274.26936,12760.00000
3,3,3,7.22794,46.71342,-278.97101,11656.00000
3,3,4,-15.02743,45.30141,-279.05162,11964.00000
3,3,5,-29.47578,65.20646,-274.16311,13076.00000
3,4,0,-19.52497,92.58008,-285.44439,14312.00000
3,4,1,7.13088,93.50035,-285.53399,14344.00000
3,4,2,20.17972,71.17242,-290.97116,13895.00000
3,4,3,7.62529,50.01330,-295.83182,12676.00000
3,4,4,-15.85392,48.66305,-295.89696,12813.00000
3,4,5,-30.78412,69.06282,-290.89017,14329.00000
3,5,0,-19.93810,96.90900,-301.99243,14802.00000
3,5,1,7.15473,97.85329,-302.08532,14824.00000
3,5,2,20.41812,75.26346,-307.59305,14325.00000
3,5,3,7.79215,53.86665,-312.53667,12919.00000
3,5,4,-16.52149,52.53703,-312.58059,13009.00000
3,5,5,-31.47740,72.96772,-307.54401,14851.00000
4,0,0,-42.21255,84.14870,-223.38731,6313.00000
4,0,1,-50.82212,67.08495,-227.22347,6554.00000
4,0,2,-69.54721,63.01032,-223.28539,6243.00000
4,0,3,-79.19709,75.35291,-215.90278,6268.00000
4,0,4,-71.78284,92.87127,-211.55180,6951.00000
4,0,5,-52.34291,97.02126,-215.69277,6795.00000
4,1,0,-41.49144,88.59014,-234.14959,6521.00000
4,1,1,-51.72472,68.17773,-238.77204,6701.00000
4,1,2,-74.08345,63.27653,-234.07381,6457.00000
4,1,3,-85.66746,78.12110,-225.20075,6441.00000
4,1,4,-76.78610,99.11718,-219.98692,7124.00000
4,1,5,-53.55725,104.09378,-224.94225,6940.00000
4,2,0,-44.57942,93.13937,-246.52352,9814.00000
4,2,1,-55.01645,72.29943,-251.24277,10131.00000
4,2,2,-77.80448,67.27212,-246.44478,9690.00000
4,2,3,-89.62082,82.48332,-237.38961,9703.00000
4,2,4,-80.58350,103.98215,-232.03056,10718.00000
4,2,5,-56.82576,109.04977,-237.07942,10440.00000
4,3,0,-47.24627,98.80954,-261.51650,12575.00000
4,3,1,-58.28246,76.33635,-266.63309,13132.00000
4,3,2,-82.59896,71.28199,-261.41684,12240.00000
4,3,3,-95.43968,87.42860,-251.69728,12445.00000
4,3,4,-85.74501,110.52920,-245.94882,13692.00000
4,3,5,-60.42308,115.80345,-251.36539,13177.00000
4,4,0,-51.01480,104.43672,-277.30308,13444.00000
4,4,1,-62.14585,81.12795,-282.72613,14582.00000
4,4,2,-87.01173,76.34689,-277.27189,12830.00000
4,4,3,-100.67245,93.25480,-267.01436,13282.00000
4,4,4,-90.78778,116.97604,-261.10370,14896.00000
4,4,5,-64.92395,122.24663,-266.66405,13924.00000
4,5,0,-55.29084,109.94782,-292.96432,13588.00000
4,5,1,-66.31705,86.43257,-298.44268,15226.00000
4,5,2,-91.30374,81.83372,-292.93604,12867.00000
4,5,3,-105.44545,99.19829,-282.36166,13492.00000
4,5,4,-95.48464,123.05761,-276.39468,15370.00000
4,5,5,-69.62394,128.28749,-281.99635,14057.00000
5,0,0,-15.63079,101.48548,-219.59643,6312.00000
5,0,1,-25.04970,114.79667,-211.86520,6431.00000
5,0,2,-15.73768,129.69681,-203.67256,6425.00000
5,0,3,3.06322,130.17750,-203.87075,6418.00000
5,0,4,13.10670,116.19609,-212.02893,6447.00000
5,0,5,3.65779,102.23613,-219.63238,6304.00000
5,1,0,-17.75578,104.08241,-230.77011,6498.00000
