crystal,edep,x,y,z,slice_sect,time
37,236.058,-33.936,-214.132,-157.872,24,102632185.403
37,473.683,-31.345,-220.771,-165.048,35,102632185.437
37,73.310,-31.664,-221.894,-165.137,35,102632185.441
37,46.126,-33.644,-224.977,-166.978,34,102632185.454
37,29.715,-33.959,-226.884,-168.603,34,102632185.463
37,126.945,-35.848,-229.916,-170.668,34,102632185.477
37,100.314,-36.539,-231.765,-169.902,34,102632185.484
37,8.723,-54.911,-230.167,-158.835,34,102632185.555
37,35.590,-55.843,-230.250,-158.677,34,102632185.559
13,56.936,154.965,-24.133,-263.765,44,10552926.108
11,264.278,-14.360,-120.616,-216.567,11,175900619.183
11,657.686,-14.787,-121.216,-217.125,11,175900619.186
10,105.179,-4.849,-113.144,-224.528,15,175900619.236
10,51.986,-7.463,-115.444,-227.096,15,175900619.250
10,22.071,-6.933,-115.029,-226.534,15,175900619.253
10,70.800,-7.025,-115.547,-226.882,15,175900619.255
44,440.741,159.946,-63.031,-211.412,22,55329600.374
44,679.017,161.636,-62.782,-212.133,22,55329600.380
44,213.242,141.628,-53.410,-191.214,03,55329600.482
29,772.051,-172.329,30.308,-166.211,00,41143185.806
29,205.122,-172.982,48.566,-176.599,10,41143185.876
29,355.827,-177.887,51.390,-176.825,10,41143185.895
33,496.256,-144.038,-145.583,-129.884,03,41143185.809
33,146.847,-144.000,-145.872,-130.049,03,41143185.810
33,305.588,-141.959,-149.277,-138.389,03,41143185.841
33,61.569,-149.151,-143.724,-139.788,14,41143185.872
33,161.740,-149.380,-143.930,-140.001,14,41143185.873
8,688.084,-147.320,8.656,-239.521,32,165402010.555
8,100.314,-144.833,11.655,-229.991,22,165402010.590
8,38.581,-145.905,8.525,-231.601,22,165402010.602
8,91.858,-145.839,10.167,-232.452,22,165402010.608
15,136.514,219.264,57.480,-129.751,22,110046916.663
15,142.965,223.659,58.415,-134.471,22,110046916.685
15,269.984,235.484,62.151,-160.881,32,110046916.782
15,70.727,245.653,76.787,-175.483,52,110046916.859
6,360.084,-71.797,6.500,-226.755,01,66309067.609
8,683.598,-137.835,2.553,-285.403,50,66309067.904
8,94.012,-130.126,-19.408,-283.732,50,66309067.981
8,58.134,-130.276,-19.966,-277.453,40,66309068.002
8,28.907,-130.501,-19.833,-277.423,40,66309068.003
8,108.265,-127.945,-16.200,-278.161,40,66309068.018
29,775.211,-161.582,13.525,-187.699,02,13485686.752
29,78.721,-163.680,13.517,-187.237,12,13485686.759
29,150.892,-167.499,16.346,-185.882,12,13485686.776
29,176.723,-175.916,19.490,-169.912,05,13485686.837
29,32.098,-177.372,9.274,-179.634,13,13485686.884
29,119.355,-166.760,8.464,-181.940,02,13485686.920
14,1065.718,103.728,-65.425,-220.677,11,171410181.310
14,123.972,78.831,-68.658,-216.189,05,171410181.395
14,45.154,80.027,-68.226,-214.983,00,171410181.401
14,98.156,80.527,-64.160,-228.252,10,171410181.447
36,932.654,64.501,-212.389,-152.485,23,66122587.819
36,63.837,61.838,-204.855,-165.552,23,66122587.870
36,66.703,61.803,-204.408,-165.683,23,66122587.872
36,72.085,63.279,-202.849,-165.736,23,66122587.879
29,922.003,-192.375,16.748,-164.526,14,88539257.048
29,58.165,-186.153,19.413,-164.613,04,88539257.071
29,70.848,-183.389,30.278,-178.531,10,88539257.130
29,120.985,-189.930,22.448,-177.802,15,88539257.164
37,1067.884,-26.142,-196.641,-138.875,04,60242876.622
37,265.116,-30.440,-193.309,-137.488,04,60242876.641
41,678.814,149.596,-120.287,-148.036,04,123144436.201
14,792.856,107.993,-68.978,-220.933,11,82758624.207
14,203.686,104.671,-74.566,-221.420,11,82758624.228
14,1.496,111.282,-72.354,-215.985,12,82758624.258
44,15.550,131.501,-60.220,-205.535,13,82758624.344
44,37.023,144.371,-55.221,-208.225,13,82758624.391
44,121.389,145.605,-57.784,-209.044,23,82758624.401
42,267.460,193.484,-13.462,-157.584,02,1745819.052
10,194.690,4.970,-117.765,-217.986,15,20967607.458
38,25.820,20.144,-163.997,-230.877,34,20967607.626
38,362.892,21.866,-168.145,-230.560,34,20967607.641
38,5.138,20.604,-163.395,-229.301,34,20967607.658
