global_time,crystal,edep,x,y,z,slice_sect,time
 4031865510.73943,27,171.267,-182.888,96.103,-182.608,35,215453467.259
 4031865510.73943,27,189.009,-181.154,94.044,-184.480,35,215453467.270
 4276566142.33434,21,51.055,19.061,187.106,-162.083,05,17841495.788
 4276566142.33434,21,74.026,21.734,194.423,-168.076,15,17841495.821
 4276566142.33434,21,668.449,22.780,247.446,-201.767,55,17841496.030
 4294407637.29412,13,839.406,152.102,-22.695,-258.479,44,83030890.632
 4294407637.29412,13,212.860,151.262,-31.261,-261.743,44,83030890.663
 4294407637.29412,13,99.396,149.326,-28.589,-268.192,44,83030890.687
 4294407637.29412,13,26.527,148.059,-25.679,-267.302,44,83030890.698
 4294407637.29412,13,154.809,138.131,-13.338,-281.144,54,83030890.768
 4400992340.45366,5,1108.774,-33.041,110.865,-206.116,01,54124456.387
 4521772291.89642,35,861.924,-87.216,-160.147,-154.259,05,95189136.563
 4521772291.89642,35,307.534,-76.111,-169.352,-157.890,05,95189136.613
 4521772291.89642,35,163.542,-76.926,-168.541,-157.565,05,95189136.617
 4521772291.89642,25,469.263,-134.699,189.361,-135.913,21,95189136.664
 5279016778.39954,3,133.476,-39.903,39.075,-304.477,54,22354359.606
 5412195351.05370,30,623.195,-171.763,-76.193,-153.521,00,129666113.282
 5412195351.05370,30,70.386,-171.430,-76.407,-154.961,00,129666113.287
 5412195351.05370,30,305.042,-172.660,-75.365,-160.847,00,129666113.307
 5558980648.84867,7,1008.985,-101.748,-33.973,-260.714,30,61768623.229
 5558980648.84867,6,19.111,-79.282,-19.643,-265.529,35,61768623.319
 5558980648.84867,6,304.903,-68.763,-15.244,-273.345,35,61768623.365
 5620749271.13640,17,117.354,160.737,59.113,-173.854,00,16403342.592
 5620749271.13640,17,53.068,208.924,99.003,-226.051,50,16403343.070
 5620749271.13640,17,4.192,195.789,92.309,-226.194,50,16403343.119
 5620749271.13640,17,3.265,187.702,87.388,-222.748,41,16403343.153
 5620749271.13640,17,179.388,177.530,82.191,-222.930,41,16403343.191
 6122002241.34438,24,935.340,-116.701,133.845,-167.181,00,29045628.897
 6151047869.42736,37,155.297,-47.327,-204.394,-167.761,24,10936166.653
 6161984035.18454,35,491.239,-60.267,-157.466,-198.683,22,21491369.294
 6161984035.18454,35,115.058,-68.300,-173.575,-202.336,22,21491369.355
 6161984035.18454,35,419.815,-87.424,-193.113,-199.101,35,21491369.447
 6161984035.18454,35,146.538,-87.393,-193.123,-198.903,35,21491369.448
 6161984035.18454,35,17.628,-87.755,-194.730,-200.109,35,21491369.455
 6161984035.18454,35,39.406,-90.927,-194.545,-204.269,45,21491369.472
 6161984035.18454,35,103.315,-90.916,-194.404,-204.202,45,21491369.473
 6342897318.71691,22,134.048,57.881,158.986,-201.050,22,147969294.372
 6342897318.71691,22,169.621,58.433,160.315,-207.236,22,147969294.394
 6592667575.91091,24,162.538,-146.203,168.241,-197.515,40,41879243.633
 6592667575.91091,24,185.153,-144.252,164.917,-197.173,40,41879243.645
 7000237353.58653,12,922.553,50.960,-32.008,-232.853,05,183240223.835
 7000237353.58653,12,86.132,50.885,-32.208,-232.667,05,183240223.836
 7000237353.58653,15,48.385,194.092,23.685,-135.496,04,183240224.443
 7000237353.58653,15,114.930,189.919,32.558,-140.500,04,183240224.480
 7286589339.10730,34,731.861,-119.651,-127.126,-189.842,10,127707824.807
 7286589339.10730,34,238.174,-129.312,-136.447,-182.567,21,127707824.858
 7286589339.10730,34,201.965,-130.325,-135.842,-189.371,21,127707824.881
 7563090437.60724,32,659.818,-144.323,-65.211,-180.431,05,65891356.303
 7563090437.60724,32,160.609,-154.336,-69.843,-177.976,05,65891356.341
 7563090437.60724,32,103.772,-164.652,-63.351,-170.218,00,65891356.389
 7689883546.88022,3,841.137,-12.154,27.304,-255.559,14,132123834.826
 7689883546.88022,3,74.366,-11.035,30.385,-256.464,24,132123834.838
 7689883546.88022,3,417.497,-17.310,68.293,-252.577,21,132123834.966
 8615162249.75118,38,840.204,6.489,-154.582,-183.614,05,236026578.069
 8615162249.75118,36,280.897,34.643,-211.103,-166.011,25,236026578.288
 8615162249.75118,36,1.279,50.045,-194.471,-169.175,22,236026578.364
 8615162249.75118,36,115.460,64.273,-185.253,-175.390,22,236026578.483
 9140160696.91978,29,963.418,-190.759,7.439,-201.820,32,4777587.872
 9140160696.91978,29,43.316,-190.874,7.838,-201.706,32,4777587.873
 9140160696.91978,29,169.167,-196.389,29.340,-210.869,31,4777587.954
 9140160696.91978,29,60.680,-197.257,28.872,-208.953,31,4777587.961
 9140160696.91978,29,96.419,-196.751,28.214,-213.123,31,4777587.975
 9140160696.91978,26,565.046,-113.960,129.329,-233.407,34,4777587.910
 9140160696.91978,26,278.360,-137.980,135.539,-236.841,45,4777587.994
 9140160696.91978,26,179.462,-137.997,149.469,-249.767,55,4777588.057
 9140160696.91978,26,149.132,-138.090,148.302,-249.472,55,4777588.061
 9144938283.86233,20,434.681,66.953,136.133,-199.166,14,43768120.075
 9144938283.86233,20,357.995,104.307,143.193,-224.622,34,43768120.227
 9144938283.86233,20,34.903,104.602,134.569,-234.842,33,43768120.272
 9144938283.86233,20,0.691,107.891,128.128,-237.607,33,43768120.298
 9144938283.86233,20,41.809,109.216,125.022,-238.965,33,43768120.310
 9144938283.86233,2,37.001,101.360,81.575,-299.522,50,43768120.594
 9144938283.86233,2,158.491,101.159,80.303,-299.017,50,43768120.599
 9292161265.08088,11,717.666,-23.191,-95.778,-222.133,00,17146945.744
 9292161265.08088,11,280.746,-26.351,-97.548,-222.242,00,17146945.756
 9292161265.08088,11,173.589,-22.699,-100.900,-219.739,00,17146945.774
