num_of_inter,noth,crystal,edep,x,y,z,slice_sect,time
5,116,61.454,-236.897,6.929,16.265,05,2.235
1,2,236.498,115.505,24.100,-227.134,14,0.854
2,2,379.378,134.258,27.532,-235.994,24,0.924
2,2,264.125,141.385,25.625,-226.034,23,0.965
4,157,1234.995,26.379,-196.303,145.544,04,0.820
1,157,269.740,23.876,-194.473,149.779,04,0.837
1,157,175.265,23.640,-194.964,148.250,04,0.843
3,59,80.000,11.964,230.822,-63.308,00,0.799
2,31,16.929,-192.605,22.006,-150.810,14,0.828
4,31,22.983,-197.499,1.672,-141.558,04,0.904
1,31,22.978,-198.509,1.075,-141.194,04,0.908
3,31,100.949,-205.402,1.328,-135.027,03,0.939
5,31,17.103,-202.938,1.399,-136.317,03,0.949
1,31,102.374,-203.182,1.683,-136.765,03,0.950
4,4,350.442,-41.033,88.358,-236.576,10,0.853
5,4,351.887,-67.134,82.847,-255.365,31,0.962
1,4,26.857,-50.155,86.407,-256.078,20,1.020
3,4,150.814,-39.967,76.805,-249.512,21,1.072
4,51,357.850,165.821,171.802,-125.275,22,0.899
2,60,80.000,-127.077,175.388,-103.736,03,0.801
3,79,297.702,-24.479,-242.677,-62.691,11,0.840
5,79,182.298,-23.992,-238.023,-57.513,01,0.863
5,70,224.871,-276.463,-33.221,-60.512,30,0.950
5,60,641.525,-159.444,219.165,-110.452,44,0.976
2,67,29.274,-230.317,75.171,-115.532,20,0.895
5,67,105.275,-240.029,82.981,-121.591,30,0.942
4,67,187.107,-243.364,83.401,-120.700,30,0.953
5,66,57.935,-233.066,98.136,-100.552,20,1.043
2,67,100.409,-250.865,95.401,-103.722,30,1.104
2,77,961.322,-132.426,-184.335,-76.423,00,0.799
3,77,57.581,-137.088,-179.042,-77.108,00,0.822
3,77,3.878,-141.197,-179.021,-76.939,00,0.836
4,77,3.799,-141.326,-178.965,-76.919,00,0.837
3,77,6.535,-150.556,-175.727,-70.743,00,0.882
5,77,24.275,-149.596,-178.062,-69.772,00,0.891
1,77,131.292,-150.956,-178.462,-65.790,00,0.905
3,111,80.000,-208.484,87.596,67.130,01,0.787
5,133,248.618,148.439,-197.206,28.121,01,0.829
2,159,73.159,138.556,-151.857,141.414,14,1.264
3,159,2.880,140.548,-149.810,140.058,14,1.274
3,159,113.422,140.742,-149.331,139.550,14,1.277
5,48,644.789,236.294,18.459,-70.671,02,0.825
1,48,99.459,235.681,17.273,-70.665,02,0.829
5,48,33.511,236.544,17.849,-71.072,02,0.833
4,48,102.241,236.534,17.763,-71.177,02,0.834
4,65,58.279,-162.725,195.903,-10.825,15,0.910
4,65,9.789,-184.151,198.731,-24.043,25,1.074
4,65,39.092,-184.884,195.654,-22.208,25,1.087
