edep,crystal,slice_sect,num_of_int
453.701,90,33,1
528.994,90,43,1
79.047,59,5,1
83.632,86,4,1
179.503,133,4,1
121.815,103,10,2
153.265,102,20,1
24.99,102,30,1
328.86899999999997,102,51,3
93.026,104,54,2
80.086,162,30,1
198.417,164,20,1
93.091,148,22,1
80.007,148,32,1
82.821,148,42,1
224.081,148,43,2
211.275,131,5,1
355.01800000000003,81,45,2
232.332,126,15,1
230.659,126,24,1
59.369,123,33,1
357.64,123,53,1
1024.6090000000002,16,5,2
255.391,69,25,1
920.893,25,53,2
15.828,66,2,1
464.172,66,12,1
644.341,122,20,1
235.659,64,1,1
1106.9550000000002,5,22,2
173.04500000000002,5,12,2
49.794,5,22,1
92.768,5,12,1
1225.478,138,14,1
248.049,138,21,1
206.473,138,42,1
80.0,17,2,1
73.911,107,1,1
406.089,107,11,1
340.74,63,15,1
361.024,63,25,3
3.808,63,4,1
984.578,46,32,1
155.198,46,34,1
140.224,46,33,1
1488.2870000000003,100,3,3
191.71200000000002,135,2,2
80.0,142,2,1
69.762,107,3,1
215.396,107,22,1
194.842,107,11,1
654.85,138,1,2
18.353,155,0,1
206.79700000000003,155,10,2
74.736,94,0,1
1258.486,14,13,1
272.393,40,32,2
149.121,40,22,1
65.426,162,0,1
241.032,3,3,1
100.423,12,14,1
138.546,6,33,1
33.686,122,23,1
460.37300000000005,122,34,3
9.788,122,35,1
92.256,120,31,2
283.896,120,21,1
530.787,6,31,1
24.227,8,50,1
132.096,7,50,1
1285.588,30,1,1
225.878,32,10,1
168.534,32,0,1
269.353,154,3,1
42.277,92,5,1
168.369,92,0,1
31.334,58,2,1
848.666,58,12,1
1280.0,69,32,3
80.0,48,1,1
880.0,19,54,4
80.0,25,1,1
480.0,155,1,2
924.432,18,45,2
355.568,18,44,2
463.993,97,22,1
80.0,45,4,2
182.281,66,15,2
297.71799999999996,66,25,3
34.499,66,15,1
124.413,66,25,2
676.03,132,52,1
203.971,132,41,5
187.53,83,5,1
514.501,83,15,2
369.444,83,25,1
68.352,83,15,1
208.525,83,14,2
654.723,127,21,1
777.724,127,41,1
12.389,127,0,1
165.054,105,5,3
16.809,44,2,1
63.191,159,1,1
41.112,31,10,1
455.396,31,31,1
40.187,31,30,1
140.825,31,45,2
202.48000000000002,31,44,2
182.792,40,14,1
746.282,40,24,1
164.077,78,54,1
1430.455,33,34,1
73.776,33,24,1
80.0,101,2,2
296.504,140,35,1
20.486,140,20,1
18.101,140,10,2
144.91,138,10,2
586.113,17,5,2
143.687,49,11,2
150.2,49,21,1
1110.51,114,43,1
112.136,114,44,1
457.35400000000004,114,50,2
80.0,24,2,1
45.72,74,1,2
219.539,119,42,2
719.004,44,24,2
160.997,44,34,1
177.237,32,21,1
1102.763,32,31,2
968.388,23,30,1
125.691,23,33,1
185.921,23,32,1
1680.0,30,4,2
80.0,114,1,1
880.0,46,34,1
921.247,30,11,2
358.753,30,10,3
1337.9,79,2,1
342.1,79,4,1
80.0,32,4,1
229.199,114,22,1
250.801,114,23,1
577.124,85,1,1
302.876,84,15,1
80.0,55,3,1
80.0,116,0,1
128.44400000000002,45,5,2
178.629,45,10,1
70.281,40,0,1
102.646,53,2,1
163.936,41,12,1
514.847,41,22,2
201.216,44,12,1
1280.0,118,1,4
629.9970000000001,132,12,2
1050.003,132,22,1
287.029,132,12,1
80.0,67,35,1
371.519,26,23,1
13.3,26,42,1
745.038,96,15,1
228.17700000000002,97,11,3
80.0,103,1,1
23.078,44,5,1
294.371,44,25,1
162.551,44,15,1
223.015,46,2,1
656.9849999999999,46,23,3
760.172,25,0,2
331.225,25,1,4
1680.0,11,14,2
80.0,121,2,1
136.589,20,24,1
343.411,20,45,1
353.909,146,20,1
180.636,145,40,1
406.692,143,24,1
80.0,14,0,1
98.599,106,1,1
518.921,70,5,2
361.079,70,15,2
114.88,70,5,1
1082.216,37,0,4
197.78300000000002,37,1,7
80.0,13,0,1
241.464,35,24,2
853.595,86,40,3
156.077,86,51,1
270.329,86,41,1
14.638,17,3,1
1665.362,17,43,6
80.0,97,2,1
362.493,18,22,1
917.507,18,43,4
80.0,126,3,1
480.0,160,14,1
181.765,26,4,1
870.729,26,45,1
28.547,26,44,1
198.958,26,24,1
669.569,30,32,1
713.443,30,54,1
33.86,30,44,1
263.128,69,42,2
80.0,139,4,1
193.991,17,51,1
80.0,132,1,1
125.658,121,5,1
31.465,121,10,1
322.877,121,21,6
500.03099999999995,144,21,3
379.969,144,31,1
960.806,0,43,1
35.254,12,35,1
15.97,12,45,1
83.826,12,41,3
568.543,97,3,2
317.334,97,43,1
306.86400000000003,3,31,4
478.042,59,24,1
135.345,55,32,2
16.575,55,42,1
22.285,55,51,1
47.094,57,52,2
100.044,57,50,1
92.696,69,24,1
9.924,57,34,1
196.876,113,1,1
283.124,113,12,1
680.14,131,5,2
199.86,131,4,1
761.813,107,20,1
518.186,105,20,3
1518.607,36,20,2
7.946,37,30,1
153.447,37,31,1
80.0,35,3,1
26.577,131,3,1
173.815,131,12,1
279.60799999999995,83,32,4
114.685,109,4,1
431.697,109,14,2
1.515,109,24,1
255.988,109,23,2
699.866,109,50,1
480.0,81,41,2
957.218,29,23,1
322.782,67,20,1
650.596,62,32,2
100.401,62,53,1
480.0,64,1,3
463.779,144,0,1
46.119,144,10,1
370.102,145,11,1
319.274,121,31,1
80.0,89,2,2
40.785,12,32,1
112.782,12,22,1
85.221,12,23,1
1031.314,72,45,1
45.986,72,44,1
10.022,72,34,1
192.678,72,35,2
365.6,78,44,1
80.0,132,1,1
35.259,34,0,2
48.647,34,10,1
226.95999999999998,34,20,2
169.13400000000001,34,4,2
634.675,113,30,2
15.499,112,25,1
53.205,110,24,2
176.622,110,15,1
1452.44,12,3,2
227.56,12,2,1
80.0,48,2,1
278.718,158,21,1
28.237,157,5,1
173.04399999999998,75,1,3
280.783,138,20,2
599.2170000000001,138,55,5
182.414,132,5,1
1097.587,132,25,3
54.273,38,21,1
1303.6599999999999,38,31,2
322.067,38,22,1
80.0,13,4,1
97.933,54,13,1
382.067,54,40,2
145.127,9,1,1
296.238,11,35,1
261.496,97,5,1
